num_points,pi,time
197500,3.147808,0.005002
198000,3.144101,0.004986
198500,3.143013,0.004978
199000,3.148804,0.005029
199500,3.133233,0.005089
200000,3.140560,0.005022
200500,3.143840,0.005319
201000,3.134070,0.005081
201500,3.143186,0.005067
202000,3.139188,0.005064
202500,3.145857,0.005085
203000,3.146502,0.005160
203500,3.144118,0.005117
204000,3.141569,0.005112
204500,3.144606,0.005492
205000,3.143707,0.005171
205500,3.140964,0.005148
206000,3.138485,0.005162
206500,3.139545,0.005287
207000,3.145778,0.005271
207500,3.138159,0.005413
208000,3.140423,0.005568
208500,3.149506,0.005386
209000,3.145206,0.005434
209500,3.139112,0.005365
210000,3.137657,0.005294
210500,3.142385,0.005326
211000,3.155033,0.005363
211500,3.144624,0.005399
212000,3.145415,0.005717
212500,3.139991,0.005558
213000,3.139606,0.005551
213500,3.137124,0.005538
214000,3.144673,0.005361
214500,3.135459,0.005440
215000,3.143907,0.005387
215500,3.140900,0.005621
216000,3.143630,0.005827
216500,3.138439,0.005490
217000,3.140258,0.005440
217500,3.133903,0.005462
218000,3.141541,0.005565
218500,3.142261,0.005498
219000,3.140694,0.005817
219500,3.139226,0.005620
220000,3.139618,0.005640
220500,3.134893,0.005645
221000,3.146281,0.005679
221500,3.135494,0.005798
222000,3.141261,0.005746
222500,3.146912,0.005923
223000,3.140072,0.005839
223500,3.135821,0.005710
224000,3.141875,0.005683
224500,3.145604,0.005752
225000,3.133067,0.005853
225500,3.137774,0.005770
226000,3.137770,0.005947
226500,3.138402,0.005860
227000,3.142802,0.005829
227500,3.136791,0.005737
228000,3.139526,0.005755
228500,3.140814,0.005823
229000,3.143878,0.005751
229500,3.144157,0.006059
230000,3.147113,0.005974
230500,3.145649,0.005954
231000,3.143948,0.005948
231500,3.139663,0.005815
232000,3.145017,0.005871
232500,3.144103,0.005835
233000,3.141511,0.006090
233500,3.141687,0.005882
234000,3.145265,0.005888
234500,3.141714,0.005877
235000,3.143881,0.005933
235500,3.137308,0.006005
236000,3.136593,0.005943
236500,3.149987,0.006181
237000,3.145030,0.005966
237500,3.145600,0.005953
238000,3.141143,0.005992
238500,3.141669,0.006034
239000,3.141791,0.005993
239500,3.138572,0.006258
240000,3.141033,0.006235
240500,3.142121,0.006084
241000,3.148100,0.006049
241500,3.143735,0.006072
242000,3.141388,0.006160
242500,3.146557,0.006081
243000,3.145432,0.006332
243500,3.145774,0.006173
244000,3.140902,0.006143
244500,3.140810,0.006139
245000,3.144865,0.006207
245500,3.146737,0.006155
246000,3.143447,0.006402
246500,3.140105,0.006219
247000,3.135190,0.006198
247500,3.141705,0.006227
248000,3.139387,0.006260
248500,3.147219,0.006243
249000,3.141044,0.006250
249500,3.143230,0.006493
250000,3.137136,0.006295
250500,3.142100,0.006358
251000,3.134773,0.006297
251500,3.147292,0.006404
252000,3.140556,0.006326
252500,3.138661,0.006577
253000,3.139842,0.006355
253500,3.141286,0.006359
254000,3.142346,0.006383
254500,3.135403,0.006440
255000,3.139451,0.006398
255500,3.143311,0.006699
256000,3.141297,0.006450
256500,3.143454,0.006428
257000,3.143004,0.006454
257500,3.145305,0.006527
258000,3.142620,0.006517
258500,3.144836,0.006722
259000,3.141668,0.006502
259500,3.142335,0.006576
260000,3.144908,0.006529
260500,3.142572,0.006600
261000,3.141195,0.006556
261500,3.143816,0.006846
262000,3.142366,0.006678
262500,3.136975,0.006637
263000,3.137460,0.006601
263500,3.143529,0.006668
264000,3.140833,0.006617
264500,3.139463,0.007053
265000,3.142611,0.006685
265500,3.145175,0.006688
266000,3.140602,0.006669
266500,3.138792,0.006775
267000,3.142277,0.007023
267500,3.143850,0.006988
268000,3.139896,0.006824
268500,3.144268,0.006778
269000,3.139822,0.006836
269500,3.133863,0.007033
270000,3.144133,0.006766
270500,3.142166,0.007039
271000,3.143734,0.006809
271500,3.143853,0.006840
272000,3.139382,0.006832
272500,3.143031,0.006947
273000,3.150930,0.007007
273500,3.141148,0.007561
274000,3.140745,0.007411
274500,3.138798,0.007191
275000,3.136364,0.006976
275500,3.141067,0.006942
276000,3.134348,0.007163
276500,3.139342,0.006998
277000,3.143697,0.006962
277500,3.142861,0.006989
