num_points,pi,time
226500,3.141121,0.001379
227000,3.142291,0.001307
227500,3.140730,0.001305
228000,3.140351,0.001435
228500,3.146293,0.001347
229000,3.142812,0.001409
229500,3.144453,0.001422
230000,3.138470,0.001291
230500,3.138013,0.001491
231000,3.144069,0.001317
231500,3.141650,0.001510
232000,3.143500,0.001360
232500,3.141402,0.001432
233000,3.140155,0.001429
233500,3.133036,0.001440
234000,3.143419,0.001398
234500,3.141527,0.001347
235000,3.141481,0.001628
235500,3.138225,0.001766
236000,3.144254,0.001490
236500,3.142816,0.001281
237000,3.138987,0.001246
237500,3.143192,0.001695
238000,3.143933,0.001273
238500,3.143447,0.001282
239000,3.138477,0.001346
239500,3.141812,0.001413
240000,3.142150,0.001804
240500,3.143501,0.001454
241000,3.142739,0.001928
241500,3.142029,0.001816
242000,3.144149,0.001411
242500,3.138656,0.001701
243000,3.142058,0.001494
243500,3.143524,0.001468
244000,3.139246,0.001438
244500,3.139239,0.001563
245000,3.145878,0.001762
245500,3.143462,0.001574
246000,3.141350,0.001404
246500,3.145590,0.001629
247000,3.146300,0.001521
247500,3.136889,0.001417
248000,3.136532,0.001478
248500,3.144290,0.001592
249000,3.137574,0.001463
249500,3.143583,0.001473
250000,3.142704,0.001458
250500,3.140982,0.001730
251000,3.133896,0.001487
251500,3.141726,0.001552
252000,3.140063,0.001592
252500,3.140800,0.001464
253000,3.137549,0.001715
253500,3.141460,0.001548
254000,3.141748,0.001497
254500,3.135796,0.001730
255000,3.144753,0.001623
255500,3.140728,0.001420
256000,3.137375,0.001530
256500,3.142846,0.001409
257000,3.145167,0.001616
257500,3.137973,0.002373
258000,3.138605,0.003020
258500,3.140085,0.002786
259000,3.143985,0.002459
259500,3.146096,0.002329
260000,3.142308,0.002331
260500,3.141789,0.002237
261000,3.142345,0.002271
261500,3.140925,0.001946
262000,3.142122,0.001893
262500,3.135070,0.002050
263000,3.139072,0.001926
263500,3.145245,0.001524
264000,3.138045,0.001775
264500,3.142397,0.001634
265000,3.143623,0.001567
265500,3.140505,0.001530
266000,3.140301,0.001840
266500,3.139182,0.002076
267000,3.142112,0.001657
267500,3.140142,0.001666
268000,3.141836,0.001574
268500,3.144283,0.001691
269000,3.141249,0.001640
269500,3.142204,0.001753
270000,3.146770,0.001838
270500,3.144030,0.001648
271000,3.141063,0.001663
271500,3.141407,0.001730
272000,3.144618,0.001723
272500,3.143442,0.001626
273000,3.143297,0.001724
273500,3.141046,0.001658
274000,3.140263,0.001823
274500,3.141056,0.001818
275000,3.143971,0.001785
275500,3.137815,0.001766
276000,3.135029,0.001842
276500,3.140933,0.001767
277000,3.142325,0.001715
277500,3.137211,0.001761
278000,3.144820,0.001610
278500,3.140323,0.001845
279000,3.142065,0.001757
279500,3.142884,0.001751
280000,3.146786,0.001855
280500,3.139750,0.001715
281000,3.142278,0.001804
281500,3.141030,0.001798
282000,3.139220,0.001785
282500,3.146506,0.001854
283000,3.145060,0.001820
283500,3.142744,0.001862
284000,3.145859,0.001647
284500,3.142299,0.001802
285000,3.142793,0.001961
285500,3.148792,0.001699
286000,3.141119,0.001783
286500,3.142897,0.001776
287000,3.139373,0.001906
287500,3.143736,0.001717
288000,3.144944,0.001897
288500,3.140922,0.001786
289000,3.141315,0.001781
289500,3.144152,0.001775
290000,3.146621,0.001862
290500,3.139979,0.001799
291000,3.141100,0.001920
291500,3.136014,0.001702
292000,3.140425,0.001863
292500,3.146462,0.001925
293000,3.139823,0.001811
293500,3.143264,0.001823
294000,3.142422,0.001938
294500,3.140211,0.001909
295000,3.142915,0.001814
295500,3.139871,0.001824
296000,3.143176,0.001798
296500,3.145943,0.001917
297000,3.138815,0.001997
297500,3.144672,0.002059
298000,3.137718,0.001981
298500,3.141307,0.001882
299000,3.142528,0.002100
299500,3.139392,0.004537
300000,3.141933,0.004463
300500,3.136905,0.002381
301000,3.144120,0.002110
301500,3.143721,0.002270
302000,3.139126,0.002009
302500,3.139689,0.002304
303000,3.138640,0.002027
303500,3.142063,0.002065
304000,3.138711,0.001976
304500,3.143645,0.001930
305000,3.139987,0.002120
305500,3.145244,0.001922
306000,3.145176,0.001880
306500,3.144835,0.002151
307000,3.142228,0.002074
307500,3.141984,0.001807
308000,3.138805,0.001872
308500,3.144830,0.002020
309000,3.141515,0.002274
309500,3.143599,0.001897
310000,3.143252,0.001798
310500,3.140767,0.002256
311000,3.142212,0.002451
311500,3.137875,0.002412
312000,3.144308,0.002321
312500,3.140851,0.002410
313000,3.138760,0.002430
313500,3.136880,0.002662
314000,3.145006,0.002941
314500,3.138862,0.002303
315000,3.137917,0.001984
315500,3.141236,0.002227
316000,3.148253,0.001887
316500,3.144543,0.001898
317000,3.145489,0.001863
317500,3.141014,0.001994
318000,3.142138,0.002018
318500,3.139454,0.001903
319000,3.140476,0.001985
319500,3.145440,0.001890
320000,3.137062,0.001862
320500,3.135626,0.001857
321000,3.144224,0.001991
321500,3.143502,0.002085
322000,3.143366,0.001987
322500,3.135628,0.001926
323000,3.144557,0.002003
323500,3.139301,0.001991
324000,3.143617,0.002073
324500,3.144801,0.002112
325000,3.143778,0.002045
325500,3.142685,0.002038
326000,3.143067,0.001928
326500,3.144429,0.002082
327000,3.140012,0.001922
327500,3.139884,0.001998
328000,3.137500,0.002249
328500,3.140566,0.002002
329000,3.143805,0.002145
329500,3.139945,0.001989
330000,3.141697,0.002111
330500,3.148575,0.002064
331000,3.143650,0.002025
331500,3.143397,0.002012
332000,3.141133,0.001976
332500,3.136481,0.002317
333000,3.142450,0.002037
333500,3.145499,0.002093
334000,3.138144,0.001989
334500,3.139121,0.002046
335000,3.140501,0.002002
335500,3.143487,0.002112
336000,3.140155,0.002049
336500,3.144285,0.001663
337000,3.138861,0.002147
337500,3.138785,0.002102
338000,3.136651,0.002061
338500,3.142357,0.002034
339000,3.142088,0.001859
339500,3.139216,0.002078
340000,3.142776,0.001934
340500,3.140593,0.002179
341000,3.143308,0.002423
341500,3.141294,0.002620
342000,3.141614,0.002425
342500,3.136175,0.002332
343000,3.138904,0.002531
343500,3.137840,0.002637
344000,3.139047,0.002361
344500,3.143570,0.002650
345000,3.140394,0.001970
345500,3.143838,0.001903
346000,3.136277,0.002358
346500,3.139833,0.002302
347000,3.145372,0.002026
347500,3.143355,0.002385
348000,3.139425,0.002295
348500,3.141073,0.002240
349000,3.143335,0.002399
349500,3.142970,0.002148
350000,3.144091,0.002100
350500,3.136285,0.002037
351000,3.140570,0.002124
351500,3.145377,0.001974
352000,3.142886,0.002192
352500,3.143887,0.002399
353000,3.138765,0.002006
353500,3.141579,0.002109
354000,3.141401,0.002742
354500,3.147092,0.002698
355000,3.142434,0.002345
355500,3.141862,0.002596
356000,3.141337,0.002729
356500,3.143473,0.002669
357000,3.144728,0.002590
357500,3.141136,0.002824
358000,3.138447,0.002745
358500,3.141367,0.002604
359000,3.143643,0.002215
359500,3.140807,0.002510
360000,3.141811,0.002133
360500,3.143989,0.002270
361000,3.141208,0.002028
361500,3.136952,0.002037
362000,3.140630,0.002348
362500,3.138593,0.002063
363000,3.147460,0.002680
363500,3.136649,0.002737
364000,3.142451,0.002525
364500,3.141344,0.002834
365000,3.135441,0.002798
365500,3.137401,0.002664
366000,3.137978,0.002707
366500,3.141293,0.002598
367000,3.141134,0.002654
367500,3.147690,0.002704
368000,3.142750,0.002655
368500,3.141840,0.002946
369000,3.139252,0.002820
369500,3.140330,0.002718
370000,3.143935,0.002795
370500,3.142607,0.002639
371000,3.139838,0.003329
371500,3.143074,0.003694
